objectid,title,date,start_year,end_year,date_type
ihl_artist_001,Adachi Ginkō 安達吟光,active 1873-1902,1873,1902,active
ihl_artist_002,Akagi Yasunobu 赤城泰舒,1889-1955,1889,1955,birth-death
ihl_artist_003,Anonymous Artists 無名,,,,unknown
ihl_artist_004,Asai Chū 浅井忠,1856-1907,1856,1907,birth-death
ihl_artist_005,Asano Takeji 浅野竹二,1900-1999,1900,1999,birth-death
ihl_artist_006,Ay-O 靉嘔,b. 1931,1931,,birth
ihl_artist_007,Azechi Umetarō 畦地梅太郎,1902-1999,1902,1999,birth-death
ihl_artist_008,Bairin 梅林,active 1894,1894,1894,active
ihl_artist_009,Bannai Kōkan 坂内宏観,1900-1963,1900,1963,birth-death
ihl_artist_010,Fujiki Kikumaro 藤木喜久麿,active c. 1919-1925,1919,1925,active
ihl_artist_011,Fujimori Shizuo 藤森静雄,1891-1943,1891,1943,birth-death
ihl_artist_012,Fujita Fumio 藤田不美夫,b. 1933,1933,,birth
ihl_artist_013,Fukunaga Seihan 福永晴帆,1884-1961,1884,1961,birth-death
ihl_artist_014,Funasaka Yoshisuke 舩坂芳助,b. 1939,1939,,birth
ihl_artist_015,Gakyō 画狂,active 1904,1904,1904,active
ihl_artist_016,"Hacker, Ernst",1917-1987,1917,1987,birth-death
ihl_artist_017,Hagiwara Hideo 萩原英雄,1913-2007,1913,2007,birth-death
ihl_artist_018,Hamada Josen 浜田如洗,1875-1928,1875,1928,birth-death
ihl_artist_019,Hanpo 半哺,active 1904-1912,1904,1912,active
ihl_artist_020,Hara Takeshi 原健,b. 1942,1942,,birth
ihl_artist_021,Harada Kōkyo 原田耕挙,1863-1925,1863,1925,birth-death
ihl_artist_022,Hasegawa Chikuyō 長谷川竹葉,act. c. 1870-1890s,1870,1890,birth-death
ihl_artist_023,Hasegawa Sadanobu II 二代 長谷川貞信 (Konobu I 初代小信),1848-1940,1848,1940,birth-death
ihl_artist_024,Hasegawa Sadanobu III 三代 長谷川貞信 (Konobu III 三代 小信 ),1881-1963,1881,1963,birth-death
ihl_artist_025,Hatsuyama Shigeru 初山滋,1897-1973,1897,1973,birth-death
ihl_artist_026,Hayakawa Shōzan 早川松山,1850-1892,1850,1892,birth-death
ihl_artist_027,Hayami Shungyōsai 速水春暁斎,1767-1823,1767,1823,birth-death
ihl_artist_028,Hayashi Motoharu 林基春,1858-1903,1858,1903,birth-death
ihl_artist_029,Hiratsuka Un'ichi 平塚運一,1895-1997,1895,1997,birth-death
